Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Tickets_Sold,Rating
Air India,03-03-2024,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,04-03-2025 19:15,26h 35m,2 stops,No info,19372,129,3
Air India,12-06-2022,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,13-06-2025 19:15,23h,2 stops,No info,16856,161,5
Air India,12-06-2023,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,13-06-2025 19:15,23h,2 stops,No info,18879,168,3
Air India,12-06-2024,Delhi,Cochin,DEL ? CCU ? BOM ? COK,20:15,13-06-2025 19:15,23h,2 stops,No info,18501,164,3
Air India,01-05-2022,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,13h 25m,2 stops,No info,16204,160,3
Air India,01-05-2023,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,13h 25m,2 stops,No info,17824,161,3
Air India,01-05-2024,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,13h 25m,2 stops,No info,17111,170,4
Air India,18-05-2022,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,7650,121,4
Air India,18-05-2023,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,8415,145,3
Air India,18-05-2024,Kolkata,Banglore,CCU ? BLR,14:15,16:45,2h 30m,non-stop,No info,8079,148,4
Air India,03-05-2022,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,5717,137,3
Air India,03-05-2023,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,6289,147,3
Air India,03-05-2024,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,6100,131,3
Air India,15-05-2022,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,16-05-2025 11:05,16h 5m,1 stop,No info,7494,168,4
Air India,15-05-2023,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,16-05-2025 11:05,16h 5m,1 stop,No info,8243,168,4
Air India,15-05-2024,Kolkata,Banglore,CCU ? HYD ? BLR,19:00,16-05-2025 11:05,16h 5m,1 stop,No info,7913,163,3
Air India,06-06-2022,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,10249,166,4
Air India,06-06-2023,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,11274,164,4
Air India,06-06-2024,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,21:50,12h 25m,1 stop,No info,10823,161,2
Air India,03-04-2022,Delhi,Cochin,DEL ? MAA ? COK,06:05,04-04-2025 09:25,27h 20m,1 stop,No info,6446,148,4
Air India,03-04-2023,Delhi,Cochin,DEL ? MAA ? COK,06:05,04-04-2025 09:25,27h 20m,1 stop,No info,7219,150,3
Air India,03-04-2024,Delhi,Cochin,DEL ? MAA ? COK,06:05,04-04-2025 09:25,27h 20m,1 stop,No info,7075,141,2
Air India,06-05-2022,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,4694,139,5
Air India,06-05-2023,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,5305,140,5
Air India,06-05-2024,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,5358,144,5
Air India,21-05-2022,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,13682,95,3
Air India,21-05-2023,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,15324,122,2
Air India,21-05-2024,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,15017,118,4
Air India,06-03-2022,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,17319,84,4
Air India,06-03-2023,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,19397,85,3
Air India,06-03-2024,Delhi,Cochin,DEL ? BHO ? BOM ? COK,05:55,19:15,13h 20m,2 stops,No info,19009,110,4
Air India,21-04-2022,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,5978,142,2
Air India,21-04-2023,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,6576,136,5
Air India,21-04-2024,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,6313,151,3
Air India,12-05-2022,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,13-05-2025 14:35,24h,1 stop,No info,7997,123,4
Air India,12-05-2023,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,13-05-2025 14:35,24h,1 stop,No info,8797,141,3
Air India,12-05-2024,Kolkata,Banglore,CCU ? MAA ? BLR,14:35,13-05-2025 14:35,24h,1 stop,No info,8445,131,4
Air India,01-05-2022,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,7711,164,4
Air India,01-05-2023,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,8559,174,3
Air India,01-05-2024,Banglore,Delhi,BLR ? DEL,06:10,08:55,2h 45m,non-stop,No info,8644,170,5
Air India,09-05-2022,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,10-05-2025 19:15,30h 20m,2 stops,No info,14608,144,4
Air India,09-05-2023,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,10-05-2025 19:15,30h 20m,2 stops,No info,16361,139,5
Air India,09-05-2024,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,10-05-2025 19:15,30h 20m,2 stops,No info,16033,124,5
Air India,06-03-2022,Delhi,Cochin,DEL ? MAA ? COK,17:20,07-03-2025 09:25,16h 5m,1 stop,No info,15969,135,4
Air India,06-03-2023,Delhi,Cochin,DEL ? MAA ? COK,17:20,07-03-2025 09:25,16h 5m,1 stop,No info,17886,126,5
Air India,06-03-2024,Delhi,Cochin,DEL ? MAA ? COK,17:20,07-03-2025 09:25,16h 5m,1 stop,No info,17528,141,2
Air India,03-05-2022,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,non-stop,No info,4015,126,3
Air India,03-05-2023,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,non-stop,No info,4536,120,2
Air India,03-05-2024,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,non-stop,No info,4582,136,3
Air India,01-03-2022,Delhi,Cochin,DEL ? BOM ? COK,23:00,02-03-2025 19:15,20h 15m,1 stop,No info,34554,101,3
Air India,01-03-2023,Delhi,Cochin,DEL ? BOM ? COK,23:00,02-03-2025 19:15,20h 15m,1 stop,No info,38700,80,3
Air India,01-03-2024,Delhi,Cochin,DEL ? BOM ? COK,23:00,02-03-2025 19:15,20h 15m,1 stop,No info,37926,85,5
Air India,21-05-2022,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,22-05-2025 11:10,23h 10m,2 stops,No info,13079,121,3
Air India,21-05-2023,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,22-05-2025 11:10,23h 10m,2 stops,No info,14386,139,3
Air India,21-05-2024,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,22-05-2025 11:10,23h 10m,2 stops,No info,13811,141,4
Air India,27-06-2022,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,28-06-2025 19:15,21h 15m,2 stops,No info,13153,115,3
Air India,27-06-2022,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,28-06-2025 19:15,21h 15m,2 stops,No info,13153,115,2
Air India,27-06-2023,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,28-06-2025 19:15,21h 15m,2 stops,No info,14731,127,5
Air India,27-06-2023,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,28-06-2025 19:15,21h 15m,2 stops,No info,14731,127,4
Air India,27-06-2024,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,28-06-2025 19:15,21h 15m,2 stops,No info,14436,119,2
Air India,27-06-2024,Delhi,Cochin,DEL ? GOI ? BOM ? COK,22:00,28-06-2025 19:15,21h 15m,2 stops,No info,14436,119,5
Air India,03-04-2022,Delhi,Cochin,DEL ? MAA ? COK,12:30,04-04-2025 09:25,20h 55m,1 stop,No info,6446,103,5
Air India,03-04-2023,Delhi,Cochin,DEL ? MAA ? COK,12:30,04-04-2025 09:25,20h 55m,1 stop,No info,7219,121,4
Air India,03-04-2024,Delhi,Cochin,DEL ? MAA ? COK,12:30,04-04-2025 09:25,20h 55m,1 stop,No info,7075,111,3
Air India,09-05-2022,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,10-05-2025 07:55,23h 35m,2 stops,No info,13104,170,2
Air India,09-05-2023,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,10-05-2025 07:55,23h 35m,2 stops,No info,14415,171,5
Air India,09-05-2024,Kolkata,Banglore,CCU ? JAI ? BOM ? BLR,08:20,10-05-2025 07:55,23h 35m,2 stops,No info,13838,171,4
Air India,09-06-2022,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,10-06-2025 13:15,25h 15m,1 stop,No info,9386,150,4
Air India,09-06-2023,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,10-06-2025 13:15,25h 15m,1 stop,No info,10325,135,4
Air India,09-06-2024,Kolkata,Banglore,CCU ? BBI ? BLR,12:00,10-06-2025 13:15,25h 15m,1 stop,No info,9912,150,2
Air India,03-03-2022,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,7889,124,3
Air India,03-03-2023,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,8915,112,3
Air India,03-03-2024,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,non-stop,No info,9004,113,5
Air India,18-04-2022,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,10388,158,4
Air India,18-04-2023,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,11634,152,3
Air India,18-04-2024,Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,non-stop,No info,11401,134,2
Air India,27-03-2022,Delhi,Cochin,DEL ? TRV ? COK,05:15,28-03-2025 06:50,25h 35m,1 stop,No info,9026,87,3
Air India,27-03-2023,Delhi,Cochin,DEL ? TRV ? COK,05:15,28-03-2025 06:50,25h 35m,1 stop,No info,10109,82,3
Air India,27-03-2024,Delhi,Cochin,DEL ? TRV ? COK,05:15,28-03-2025 06:50,25h 35m,1 stop,No info,9907,108,4
Air India,03-06-2022,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,8769,168,4
Air India,03-06-2023,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,9733,164,5
Air India,03-06-2024,Banglore,Delhi,BLR ? DEL,21:05,23:55,2h 50m,non-stop,No info,9831,169,4
Air India,18-05-2022,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,8735,97,3
Air India,18-05-2023,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,9783,115,4
Air India,18-05-2024,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,9587,95,4
Air India,12-04-2022,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,7446,95,4
Air India,12-04-2023,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,8265,115,4
Air India,12-04-2024,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,8348,121,4
Air India,12-06-2022,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,10546,176,4
Air India,12-06-2023,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,11812,167,4
Air India,12-06-2024,Delhi,Cochin,DEL ? BOM ? COK,09:00,19:15,10h 15m,1 stop,No info,11576,156,2
Air India,06-06-2022,Delhi,Cochin,DEL ? CCU ? BOM ? COK,14:25,07-06-2025 19:15,28h 50m,2 stops,No info,17121,129,3
Air India,06-06-2023,Delhi,Cochin,DEL ? CCU ? BOM ? COK,14:25,07-06-2025 19:15,28h 50m,2 stops,No info,19175,145,2
Air India,06-06-2024,Delhi,Cochin,DEL ? CCU ? BOM ? COK,14:25,07-06-2025 19:15,28h 50m,2 stops,No info,18792,138,4
Air India,24-03-2022,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,25-03-2025 18:30,25h 40m,1 stop,No info,17936,120,3
Air India,24-03-2023,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,25-03-2025 18:30,25h 40m,1 stop,No info,19729,100,4
Air India,24-03-2024,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,25-03-2025 18:30,25h 40m,1 stop,No info,18940,111,5
Air India,12-04-2022,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,5464,151,3
Air India,12-04-2023,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,6010,139,4
Air India,12-04-2024,Kolkata,Banglore,CCU ? BLR,20:45,23:20,2h 35m,non-stop,No info,5770,149,4
Air India,18-05-2022,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,12838,123,3
Air India,18-05-2023,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,14378,130,2
Air India,18-05-2024,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,6h 15m,1 stop,No info,14091,129,3
Air India,01-06-2022,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,02-06-2025 19:15,23h 30m,2 stops,No info,13417,157,3
Air India,01-06-2022,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,02-06-2025 19:15,23h 30m,2 stops,No info,13417,157,5
Air India,01-06-2023,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,02-06-2025 19:15,23h 30m,2 stops,No info,15027,158,5
Air India,01-06-2023,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,02-06-2025 19:15,23h 30m,2 stops,No info,15027,158,5
Air India,01-06-2024,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,02-06-2025 19:15,23h 30m,2 stops,No info,14727,171,5
Air India,01-06-2024,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:45,02-06-2025 19:15,23h 30m,2 stops,No info,14727,171,4
Air India,21-03-2022,Delhi,Cochin,DEL ? BOM ? COK,19:00,22-03-2025 19:15,24h 15m,1 stop,No info,8298,132,4
Air India,21-03-2023,Delhi,Cochin,DEL ? BOM ? COK,19:00,22-03-2025 19:15,24h 15m,1 stop,No info,9293,134,5
Air India,21-03-2024,Delhi,Cochin,DEL ? BOM ? COK,19:00,22-03-2025 19:15,24h 15m,1 stop,No info,9108,143,5
Air India,09-05-2022,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,6586,121,3
Air India,09-05-2023,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,7310,143,5
Air India,09-05-2024,Banglore,Delhi,BLR ? DEL,10:00,12:45,2h 45m,non-stop,No info,7383,133,4
Air India,21-05-2022,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,20:25,14h 35m,2 stops,No info,15072,107,5
Air India,21-05-2023,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,20:25,14h 35m,2 stops,No info,16579,121,5
Air India,21-05-2024,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,20:25,14h 35m,2 stops,No info,15916,104,3
Air India,12-06-2022,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,13-06-2025 07:55,15h 5m,1 stop,No info,10249,124,3
Air India,12-06-2023,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,13-06-2025 07:55,15h 5m,1 stop,No info,11274,143,3
Air India,12-06-2024,Kolkata,Banglore,CCU ? BOM ? BLR,16:50,13-06-2025 07:55,15h 5m,1 stop,No info,10823,129,4
Air India,01-03-2022,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,24048,131,5
Air India,01-03-2023,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,26452,112,5
Air India,01-03-2024,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,25659,116,2
Air India,01-06-2022,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,12508,161,4
Air India,01-06-2023,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,14009,161,4
Air India,01-06-2024,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,13728,175,3
Air India,09-04-2022,Delhi,Cochin,DEL ? MAA ? COK,06:05,10-04-2025 09:25,27h 20m,1 stop,No info,5652,151,3
Air India,09-04-2023,Delhi,Cochin,DEL ? MAA ? COK,06:05,10-04-2025 09:25,27h 20m,1 stop,No info,6331,145,3
Air India,09-04-2024,Delhi,Cochin,DEL ? MAA ? COK,06:05,10-04-2025 09:25,27h 20m,1 stop,No info,6204,150,5
Air India,27-03-2022,Mumbai,Hyderabad,BOM ? HYD,06:20,07:40,1h 20m,non-stop,No info,3335,138,3
Air India,27-03-2023,Mumbai,Hyderabad,BOM ? HYD,06:20,07:40,1h 20m,non-stop,No info,3768,131,4
Air India,27-03-2024,Mumbai,Hyderabad,BOM ? HYD,06:20,07:40,1h 20m,non-stop,No info,3806,138,4
Air India,09-03-2022,Delhi,Cochin,DEL ? BLR ? COK,20:30,10-03-2025 08:15,11h 45m,1 stop,No info,11326,130,3
Air India,09-03-2023,Delhi,Cochin,DEL ? BLR ? COK,20:30,10-03-2025 08:15,11h 45m,1 stop,No info,12685,139,5
Air India,09-03-2024,Delhi,Cochin,DEL ? BLR ? COK,20:30,10-03-2025 08:15,11h 45m,1 stop,No info,12431,158,5
Air India,03-03-2022,Delhi,Cochin,DEL ? MAA ? COK,06:05,04-03-2025 09:25,27h 20m,1 stop,No info,17689,136,3
Air India,03-03-2023,Delhi,Cochin,DEL ? MAA ? COK,06:05,04-03-2025 09:25,27h 20m,1 stop,No info,19812,138,4
Air India,03-03-2024,Delhi,Cochin,DEL ? MAA ? COK,06:05,04-03-2025 09:25,27h 20m,1 stop,No info,19415,155,3
Air India,21-03-2022,Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,22-03-2025 19:15,29h 55m,2 stops,No info,10970,121,3
Air India,21-03-2023,Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,22-03-2025 19:15,29h 55m,2 stops,No info,12286,103,2
Air India,21-03-2024,Delhi,Cochin,DEL ? UDR ? BOM ? COK,13:20,22-03-2025 19:15,29h 55m,2 stops,No info,12040,107,4
Air India,06-06-2022,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:15,07-06-2025 09:25,20h 10m,2 stops,No info,13780,130,4
Air India,06-06-2023,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:15,07-06-2025 09:25,20h 10m,2 stops,No info,15434,148,2
Air India,06-06-2024,Delhi,Cochin,DEL ? HYD ? MAA ? COK,13:15,07-06-2025 09:25,20h 10m,2 stops,No info,15125,137,3
Air India,06-06-2022,Delhi,Cochin,DEL ? GOI ? BOM ? COK,10:55,07-06-2025 07:40,20h 45m,2 stops,No info,14805,127,5
Air India,06-06-2023,Delhi,Cochin,DEL ? GOI ? BOM ? COK,10:55,07-06-2025 07:40,20h 45m,2 stops,No info,16582,133,3
Air India,06-06-2024,Delhi,Cochin,DEL ? GOI ? BOM ? COK,10:55,07-06-2025 07:40,20h 45m,2 stops,No info,16250,144,3
Air India,06-06-2022,Delhi,Cochin,DEL ? JAI ? BOM ? COK,18:45,07-06-2025 19:15,24h 30m,2 stops,No info,16962,175,4
Air India,06-06-2023,Delhi,Cochin,DEL ? JAI ? BOM ? COK,18:45,07-06-2025 19:15,24h 30m,2 stops,No info,18997,165,5
Air India,06-06-2024,Delhi,Cochin,DEL ? JAI ? BOM ? COK,18:45,07-06-2025 19:15,24h 30m,2 stops,No info,18618,168,3
Air India,09-06-2022,Kolkata,Banglore,CCU ? BBI ? BLR,09:10,13:15,4h 5m,1 stop,No info,11020,156,4
Air India,09-06-2023,Kolkata,Banglore,CCU ? BBI ? BLR,09:10,13:15,4h 5m,1 stop,No info,12123,177,4
Air India,09-06-2024,Kolkata,Banglore,CCU ? BBI ? BLR,09:10,13:15,4h 5m,1 stop,No info,11638,159,3
Air India,18-06-2022,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,6552,91,4
Air India,18-06-2023,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,7338,116,3
Air India,18-06-2024,Delhi,Cochin,DEL ? COK,05:10,08:00,2h 50m,non-stop,No info,7191,88,4
Air India,09-04-2022,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,10-04-2025 19:15,30h 20m,2 stops,No info,12557,104,4
Air India,09-04-2023,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,10-04-2025 19:15,30h 20m,2 stops,No info,14064,119,4
Air India,09-04-2024,Delhi,Cochin,DEL ? JDH ? BOM ? COK,12:55,10-04-2025 19:15,30h 20m,2 stops,No info,13782,124,2
Air India,09-06-2022,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,10-06-2025 13:45,28h 20m,2 stops,No info,14139,176,5
Air India,09-06-2022,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,10-06-2025 13:45,28h 20m,2 stops,No info,14139,176,4
Air India,09-06-2023,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,10-06-2025 13:45,28h 20m,2 stops,No info,15553,159,3
Air India,09-06-2023,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,10-06-2025 13:45,28h 20m,2 stops,No info,15553,159,4
Air India,09-06-2024,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,10-06-2025 13:45,28h 20m,2 stops,No info,14931,159,3
Air India,09-06-2024,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,09:25,10-06-2025 13:45,28h 20m,2 stops,No info,14931,159,4
Air India,15-05-2022,Delhi,Cochin,DEL ? TRV ? COK,05:15,16-05-2025 06:50,25h 35m,1 stop,No info,10613,97,2
Air India,15-05-2023,Delhi,Cochin,DEL ? TRV ? COK,05:15,16-05-2025 06:50,25h 35m,1 stop,No info,11887,128,4
Air India,15-05-2024,Delhi,Cochin,DEL ? TRV ? COK,05:15,16-05-2025 06:50,25h 35m,1 stop,No info,11649,128,4
Air India,24-03-2022,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,16353,138,2
Air India,24-03-2022,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,16353,138,4
Air India,24-03-2022,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,16353,138,3
Air India,24-03-2023,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,17988,152,4
Air India,24-03-2023,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,17988,152,5
Air India,24-03-2023,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,17988,152,3
Air India,24-03-2024,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,17269,156,3
Air India,24-03-2024,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,17269,156,3
Air India,24-03-2024,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,09:25,25-03-2025 05:35,20h 10m,2 stops,No info,17269,156,4
Air India,15-05-2022,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,10920,171,4
Air India,15-05-2023,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,12231,159,3
Air India,15-05-2024,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:15,12h 15m,1 stop,No info,11986,171,4
Air India,06-06-2022,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,16:50,07-06-2025 05:35,12h 45m,2 stops,No info,14005,135,3
Air India,06-06-2023,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,16:50,07-06-2025 05:35,12h 45m,2 stops,No info,15405,132,5
Air India,06-06-2024,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,16:50,07-06-2025 05:35,12h 45m,2 stops,No info,14789,122,3
Air India,15-06-2022,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,05:15,16-06-2025 07:40,26h 25m,3 stops,No info,13218,102,3
Air India,15-06-2023,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,05:15,16-06-2025 07:40,26h 25m,3 stops,No info,14804,94,3
Air India,15-06-2024,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,05:15,16-06-2025 07:40,26h 25m,3 stops,No info,14508,128,5
